"Mean"	"SD"	"Naive SE"	"Time-series SE"
"CACE"	0.0575544050787005	0.0492490417718682	8.99160370465547e-05	0.000645120047533291
"alpha_z1"	-2.80607166394187	0.60423510684379	0.00110317732684963	0.0197557388317312
"alpha_z2"	-2.19314241807478	0.655504825328373	0.00119678259795278	0.0201871308660904
"b1out"	0.102063600382758	0.0420477325068217	7.67683052864316e-05	0.000393102701950804
"pia"	0.108860828689151	0.0648637992707119	0.000118424553420187	0.00187874554220685
"pic"	0.832463097978302	0.0690220498151643	0.000126016445496703	0.00205850518308157
"pin"	0.0586760733325474	0.0348192288050182	6.3570923504807e-05	0.0011000873187829
"s1out"	0.111117983095168	0.104671434531608	0.000191103019397957	0.000895835721534782
"sigma_b"	0.923059810268694	0.292128072834427	0.000533350450573093	0.00148315372097748
"sigma_s"	2.18428211263114	0.867349337125224	0.00158355599060213	0.00527914064859544
"sigma_u"	0.756776719845307	0.198589574217234	0.000362573298280417	0.00117891120472292
"sigma_z1"	1.70299686112658	0.48710759187102	0.000889332719999258	0.00346877789330832
"sigma_z2"	2.01186770984079	0.539834434254333	0.000985598323197126	0.00347443404766179
"u1out"	0.0783720637039304	0.0412418905820666	7.52970459531925e-05	0.000609371022803576
"v1out"	0.0687949090957812	0.0085210513440494	1.55572401159852e-05	2.26158954421526e-05
