"Mean"	"SD"	"Naive SE"	"Time-series SE"
"CACE"	0.0190057466858619	0.0618238811005075	0.000112874447570884	0.000721616268517851
"alpha_z1"	-2.84069099781372	0.603112174421219	0.00110112714212164	0.0200222681413415
"alpha_z2"	-2.15211875155388	0.653471467336424	0.00119307021115387	0.0198591164008989
"b1out"	0.126135918101416	0.0192179770587715	3.50870651490198e-05	6.94857435891377e-05
"pia"	0.112967625082103	0.0670714565137084	0.000122455165657616	0.00196100297033036
"pic"	0.830382331104641	0.0696576770933441	0.000127176936824785	0.00206367751173665
"pin"	0.0566500438132559	0.0341467355872337	6.2343124487641e-05	0.0010752132322601
"s1out"	0.110893036288057	0.101574159817818	0.00018544819530618	0.000929303327856501
"sigma_s"	1.99549416062727	0.836544801837961	0.00152731486110113	0.00564670921548167
"sigma_u"	0.739181805377311	0.192090110985383	0.000350706956201217	0.00124491434622111
"sigma_v"	0.68222320155493	0.160810701983583	0.000293598829882163	0.000635026774894416
"sigma_z1"	1.70922891721555	0.485988325905807	0.000887289229275943	0.00356062156560267
"sigma_z2"	2.0111477122553	0.541886920649834	0.000989345633523087	0.00348058200865416
"u1out"	0.0795011545931009	0.0391474010859674	7.14730488082887e-05	0.000522083414923034
"v1out"	0.067615338966965	0.0328830083303684	6.00358847372436e-05	0.000411535311218289
