"Mean"	"SD"	"Naive SE"	"Time-series SE"
"CACE"	0.014235358220634	0.0641618683465011	0.000117143008750184	0.000792191378025146
"Sigma_Z[1,1]"	3.58055893029833	2.76441075681976	0.00504710043240037	0.0290921680584728
"Sigma_Z[2,1]"	1.22592477434919	2.05304070368257	0.00374832234961075	0.0183555926968512
"Sigma_Z[1,2]"	1.22592477434919	2.05304070368257	0.00374832234961075	0.0183555926968512
"Sigma_Z[2,2]"	5.46980846521774	3.859486639784	0.00704642630999837	0.034570216394363
"b1out"	0.10157231794015	0.042401293147464	7.74138157475174e-05	0.000406938223973694
"pia"	0.110892230308534	0.07104931835019	0.000129717714519216	0.00399395093584924
"pic"	0.828812590222936	0.0802480460760609	0.000146512216771908	0.00445403664516978
"pin"	0.0602951794685297	0.0360739430314874	6.58617077883397e-05	0.0017815539599738
"s1out"	0.0230651736404615	0.00796931615842822	1.45499140928718e-05	2.44476311833858e-05
"sigma_b"	0.923254695322011	0.293309177708359	0.000535506843180532	0.00147817827338847
"sigma_u"	0.755829846890095	0.198808335396714	0.000362972699722778	0.00110377567253791
"sigma_v"	0.677999654946951	0.156221899594542	0.000285220861280792	0.000547234398429872
"u1out"	0.128060051311904	0.0493837390904374	9.01619595792741e-05	0.000643499529179406
"v1out"	0.11382469309127	0.040995895272605	7.48479220197505e-05	0.000448974361578184
