"Mean"	"SD"	"Naive SE"	"Time-series SE"
"CACE"	0.0198865574129084	0.062719833772164	0.000114510225866628	0.000743165743510269
"Sigma_Z[1,1]"	3.62955916087679	3.06037885552967	0.00558746177895148	0.0491131817445581
"Sigma_Z[2,1]"	1.15637814435269	2.00668990933011	0.00366369776419366	0.0176730419672169
"Sigma_Z[1,2]"	1.15637814435269	2.00668990933011	0.00366369776419366	0.0176730419672169
"Sigma_Z[2,2]"	5.38233920346817	3.8050514315402	0.00694704167173963	0.0326939587481272
"b1out"	0.126113001512937	0.0193112832811069	3.5257418224782e-05	6.99752247128743e-05
"pia"	0.112647589835816	0.0657620349581971	0.000120064499913493	0.0033488521692328
"pic"	0.822452068459986	0.081251369207884	0.000148344025811129	0.00474307060575506
"pin"	0.0649003417041978	0.0499038365046223	9.11115231987713e-05	0.0037666146382173
"s1out"	0.110006084698165	0.0995302653590725	0.000181716571638797	0.000880137624908665
"sigma_s"	1.99709180599978	0.826122227305538	0.00150828593050551	0.00546152575788464
"sigma_u"	0.740629687722477	0.193038122268671	0.000352437780083305	0.00121070485570249
"sigma_v"	0.685065846302913	0.162700601762589	0.000297049299016783	0.000642952529362107
"u1out"	0.126071200829799	0.0471386563404492	8.60630180271598e-05	0.000576406355832644
"v1out"	0.106184643416891	0.0409111274048105	7.4693157775275e-05	0.000464810245951253
