"Mean"	"SD"	"Naive SE"	"Time-series SE"
"CACE"	-0.0126948398186419	0.0416654709672052	7.60703943927162e-05	0.000454063008404951
"Sigma_Z[1,1]"	3.56908422850181	2.6945961426744	0.00491963696903059	0.0240265300773467
"Sigma_Z[2,1]"	1.17692755668105	2.07031032058075	0.00377985221205942	0.0197761423594742
"Sigma_Z[1,2]"	1.17692755668105	2.07031032058075	0.00377985221205942	0.0197761423594742
"Sigma_Z[2,2]"	5.50567192086857	4.01033163517295	0.00732183033220267	0.0358479551158002
"b1out"	0.093801778335047	0.0395407290201443	7.2191164081774e-05	0.000349893865176738
"pia"	0.10995323220176	0.0717191740675235	0.000130940698141407	0.00399442522945486
"pic"	0.827314609638047	0.0828955623407984	0.000151345898037103	0.00467925056107553
"pin"	0.0627321581601926	0.0357111798605717	6.5199395882531e-05	0.00165833681851133
"s1out"	0.108473688795696	0.0964676484766274	0.000176125023800426	0.000823703741360163
"sigma_b"	0.925371514852859	0.295663306944515	0.00053980487546695	0.00143713924770914
"sigma_s"	1.97711911719834	0.808344195694545	0.00147582783403424	0.00513689680685844
"sigma_v"	0.684074055952905	0.163168394709613	0.000297903368181205	0.00066033936316467
"u1out"	0.0933902841707874	0.0100825922446781	1.84082107017895e-05	2.57524823747276e-05
"v1out"	0.106085123989429	0.0404379681891202	7.38292911895248e-05	0.000454297337783489
