"Mean"	"SD"	"Naive SE"	"Time-series SE"
"CACE"	0.0572210872994851	0.0475682208054079	8.68472918516949e-05	0.000596570018967776
"Sigma_Z[1,1]"	3.590540938105	2.80800964770899	0.00512670075247449	0.0296348776519636
"Sigma_Z[2,1]"	0.996766061226098	1.97814092964272	0.00361157469696519	0.0169648309381587
"Sigma_Z[1,2]"	0.996766061226098	1.97814092964272	0.00361157469696519	0.0169648309381587
"Sigma_Z[2,2]"	5.33974859314883	3.8262362666928	0.00698571971204	0.0333049948653726
"b1out"	0.101969655004077	0.0425179885884994	7.76268714988946e-05	0.000401584866179626
"pia"	0.110676162379364	0.0687484737321326	0.000125516966190468	0.00375007967945359
"pic"	0.826556204333964	0.0787521886050978	0.000143781167173045	0.00420950677438472
"pin"	0.0627676332866719	0.0413661468899669	7.55239058956902e-05	0.00239765587171152
"s1out"	0.109636437918015	0.104094147846172	0.000190049042932087	0.000889734413733603
"sigma_b"	0.923986020987546	0.294116130677395	0.000536980130993822	0.00152977002801603
"sigma_s"	2.18724457210789	0.886451488456756	0.00161843158787265	0.00567871526614462
"sigma_u"	0.754595114600219	0.19625270252969	0.000358306773822874	0.00109994001030224
"u1out"	0.126217957919077	0.0468001166820152	8.54449320020451e-05	0.000587749588550864
"v1out"	0.0689968706195916	0.00851171818100775	1.55402001695493e-05	2.44004680670381e-05
