"Mean"	"SD"	"Naive SE"	"Time-series SE"
"CACE"	0.0220373098030923	0.0631113095090752	0.000115224959506036	0.000776654687817078
"Sigma_Z[1,1]"	3.55789847904208	2.60775259120691	0.00476108306198858	0.0230425701015451
"Sigma_Z[2,1]"	1.20446592537333	2.08361789155307	0.00380414840141657	0.0188209094458248
"Sigma_Z[1,2]"	1.20446592537333	2.08361789155307	0.00380414840141657	0.0188209094458248
"Sigma_Z[2,2]"	5.59225448468285	4.11272598668713	0.00750877598582077	0.040725142569379
"b1out"	0.102096175505801	0.0426629499602476	7.78915335431392e-05	0.000406319299741959
"pia"	0.118272534917604	0.0801913523934612	0.000146408708742482	0.00450717009880127
"pic"	0.820077080012074	0.0882383856160759	0.000161100514132547	0.00501596814857562
"pin"	0.0616503850703216	0.0359112930260048	6.55647508650692e-05	0.00184098577373741
"s1out"	0.108814842109982	0.0977350303374572	0.000178438935914257	0.000855654277509324
"sigma_b"	0.924343863481751	0.296729900405305	0.000541752199794157	0.00167260535259183
"sigma_s"	1.98507761497106	0.823645870559853	0.00150376474233871	0.00536692262619948
"sigma_u"	0.753809028129856	0.196314229152177	0.000358419105552953	0.00104406265275778
"sigma_v"	0.684886248631769	0.163978448479397	0.000299382317256215	0.000685009570979795
"u1out"	0.127930015532538	0.0484046527747277	8.83744007097446e-05	0.000646095943018702
"v1out"	0.105892705729446	0.0402413406797071	7.34703001150861e-05	0.000452380810442945
