"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.011242184846944	0.00681344329550786	0.0162934692040223	0.0257204011448621	0.0438169993603507
"alpha_z1"	-1.19581549534728	-1.11339249815004	-1.07024230865985	-1.027055716167	-0.945664145762811
"alpha_z2"	-1.56200558223461	-1.46780517812102	-1.41884596806463	-1.37032709623963	-1.27819227147293
"b1out"	0.0869324056411596	0.109643187456282	0.122871094097499	0.136919585506538	0.166138874765907
"pia"	0.136169767722232	0.146875436545031	0.152652662122931	0.158547502867654	0.170121785495902
"pic"	0.604388524428647	0.62185224780986	0.630897186785007	0.639790193625826	0.656442061827661
"pin"	0.19711190300294	0.209623619681034	0.216341392132348	0.223178037345672	0.236454826856177
"s1out"	0.00974502647630116	0.0165578070346737	0.0211686203713162	0.026549200380296	0.0391402515825912
"u1out"	0.0645059605854753	0.078285055756565	0.0857396822554152	0.0933142884252435	0.108171216817995
"v1out"	0.0533685268099662	0.0636803911670218	0.0693603619231568	0.075263818278885	0.086998407795905
