"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.144015681112526	-0.0600723937024927	-0.0284383491890623	-0.0022453022931047	0.0366374275827373
"b1out"	0.082466147364654	0.101241619843044	0.111909847059371	0.123152209661794	0.146021592786262
"pia"	0.0300068841076213	0.0708152821024475	0.10466356425937	0.148532721540205	0.281783265887816
"pic"	0.531056520526062	0.629773697015941	0.663027589117629	0.689326140872776	0.724722612282123
"pin"	0.182839714371526	0.21725891758425	0.230283677861378	0.24182877876227	0.261898518025237
"s1out"	0.0104263585086812	0.0177238772875489	0.0226721576245281	0.0284849914080395	0.0421231358687806
"sigma_v"	0.463570153348914	0.585768351197503	0.673535266898752	0.784335144851111	1.09624207228255
"sigma_z2"	1.24797428222022	1.64143392290686	1.925027738449	2.28824344493651	3.31633015180792
"u1out"	0.0723939061376991	0.0842822275459086	0.0908886974885447	0.0977171565135427	0.111540365487261
"v1out"	0.0259298388295921	0.0558441812624262	0.0767224125839029	0.102536693214424	0.173274586123104
