"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.00357958434713104	0.0131858612756686	0.0220912473851133	0.0309900435832408	0.0480569226156102
"b1out"	0.0821023423221852	0.101573910860208	0.112648138584605	0.12426614509424	0.147870666603715
"pia"	0.0280987758799662	0.0676022883543629	0.0987870642178037	0.143834385821842	0.315729409607848
"pic"	0.635504924005091	0.791969446941294	0.839952931027061	0.877235771816485	0.930444559641482
"pin"	0.0140384271957904	0.0339176137139102	0.0502611374182026	0.072475981077339	0.143723701223504
"s1out"	0.0139501692382085	0.0446201149041612	0.0788540742081804	0.138744354116318	0.4083618661376
"sigma_s"	1.05801303162185	1.59995450066826	2.00807514238363	2.55914962629135	4.38249922556626
"sigma_z1"	1.02490425993226	1.36850508070745	1.62210978919053	1.95131532691823	2.90703146772928
"sigma_z2"	1.23389854255804	1.63468703014822	1.92247142504267	2.29363500469582	3.35312397941716
"u1out"	0.0719638068975149	0.0840086132989296	0.0906871152803751	0.0975880940441098	0.111517493744815
"v1out"	0.0528849531333432	0.0629737667921314	0.0685491694281867	0.0743898612542405	0.0862255288166283
