"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.0075019990834232	0.00915364311758929	0.0178955747652202	0.0267121813070909	0.0436462263690453
"Sigma_z[1,1]"	1.21486990551509	2.38009362880184	3.53415137745994	5.41971663313793	13.6943060036188
"Sigma_z[2,1]"	-2.34532134770966	0.148534268047485	1.12251309158584	2.47735383976572	8.05249213630016
"Sigma_z[1,2]"	-2.34532134770966	0.148534268047485	1.12251309158584	2.47735383976572	8.05249213630016
"Sigma_z[2,2]"	1.84547536159833	3.53072344316692	5.18002322804363	7.91372410966113	20.1835924152872
"b1out"	0.082119795234452	0.101457207509933	0.112468664612717	0.1241250354431	0.147780085522747
"pia"	0.0259693524808294	0.0669355422389898	0.100440091187909	0.151808711715951	0.363261043767779
"pic"	0.563624616221418	0.779001355225461	0.836859482607005	0.881299286121821	0.941304500955508
"pin"	0.0124960674491368	0.0334611384324708	0.0515579889486511	0.0758469593622747	0.158414087024471
"s1out"	0.00763622788117283	0.0128573574703095	0.0163855669756532	0.0204851709852891	0.0299032969606855
"u1out"	0.0719772004443505	0.0840840052197167	0.0907463766049112	0.0976596438316931	0.111449900691603
"v1out"	0.0575036336286573	0.0672877559568099	0.0727707661781781	0.0784712585770657	0.0901224083382814
