"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.100694266859386	-0.0180413271647127	0.0196992166199266	0.0592754015664639	0.154196943987587
"b1out"	0.0363761642118327	0.0720035907137574	0.0959028047364293	0.124506082476044	0.200858962657841
"pia"	0.027364243455367	0.0671465780263622	0.098730015437612	0.141857947293068	0.297001491388665
"pic"	0.649323184984094	0.795558577354869	0.840324583179943	0.876759201710688	0.928821568324842
"pin"	0.0151298678703936	0.0358972224420939	0.0514213216029521	0.0725009950863941	0.134595358689082
"s1out"	0.0158233735083079	0.0465184603375813	0.0793972085199871	0.13633281340483	0.384483662340243
"sigma_b"	0.539792668594434	0.723636142955747	0.864530561463179	1.05618122837526	1.65765938608649
"sigma_s"	0.92484540581981	1.43593874912766	1.82550666236126	2.35314748341921	4.03211000968156
"sigma_u"	0.480257784947645	0.618912682070699	0.720205141790711	0.852004790022972	1.24180002580767
"sigma_v"	0.450201773936599	0.569935914889145	0.656068359684699	0.765131350429478	1.07451248299498
"sigma_z1"	1.01973596065222	1.36206548564226	1.61220032351714	1.93494121222831	2.87731452567271
"sigma_z2"	1.23695117184422	1.63398454063219	1.92370412668626	2.29232083510224	3.3282165335177
"u1out"	0.0549512739435172	0.0931861250288804	0.120210509036368	0.153572926186317	0.243335569333976
"v1out"	0.0469303468284547	0.0774882305803307	0.0994839680365465	0.127364303674911	0.202275366336839
