"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.111347456281406	-0.0347033024680763	-0.00640999857807108	0.0165006796436677	0.050859411272928
"b1out"	0.033961013855884	0.0664014240901045	0.0883686731929815	0.11480126817528	0.187144121696825
"pia"	0.0286816546236998	0.0671210618458349	0.097785702215279	0.141488906137586	0.276177374803943
"pic"	0.662816588637701	0.795092318300419	0.842158731220631	0.879348046865354	0.930675412818319
"pin"	0.0140513402797632	0.0333868334829807	0.0495505315093237	0.0713886685917635	0.146514816539787
"s1out"	0.0156494299333314	0.0462872223893501	0.079253904705981	0.135375354108729	0.37687210413078
"sigma_b"	0.537636775165157	0.721019312960981	0.863058721592511	1.05677757932277	1.6627633058454
"sigma_s"	0.919673162861227	1.43018788603658	1.81633615443384	2.33772573522981	3.97429979524432
"sigma_v"	0.450184680874578	0.569655130508984	0.655875496617365	0.765208017174782	1.08003787893053
"sigma_z1"	1.02713975853668	1.37479065507811	1.63032971233925	1.96129331521485	2.92161366867475
"sigma_z2"	1.23364675006759	1.62974820288129	1.915360507911	2.28004860557677	3.32052658007505
"u1out"	0.0743094503476027	0.086317677279158	0.0930125883141683	0.0999138908496197	0.113711070601091
"v1out"	0.0465625979104787	0.0773668751605315	0.0992016041794661	0.126864331469749	0.203312398075437
