"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.1337935297487	-0.0306627682266939	6.40846788081039e-06	0.0324002834167994	0.145346326972446
"alpha_b1"	-4.74952906919788	-2.75613934181267	-1.89906905090238	-1.14892146190877	0.150466826243709
"alpha_s1"	-4.30930071977491	-2.09633878894852	-1.08156167247365	-0.135397888723058	1.7312574435547
"alpha_u"	-4.71936279986916	-2.7041377797615	-2.0219965855604	-1.57174701506406	-0.955823405485033
"alpha_v"	-4.71491376702631	-2.67516274614756	-2.01478240756779	-1.59074649715366	-1.00531678545298
"alpha_z1"	-4.80136947495417	-3.37693454858784	-2.78535101639668	-2.26827837129755	-1.43318394252361
"alpha_z2"	-3.26612461127904	-2.349594725575	-1.93944378707036	-1.56493754970107	-0.91384378861483
"pi_a"	0.0345845615170908	0.0818279197239732	0.11797693609854	0.162360968282761	0.267634700156263
"pi_c"	0.64678239204914	0.768852630809561	0.821481010514276	0.866441017609761	0.930550239619137
"pi_n"	0.00713490150071922	0.0288157109465513	0.0506797039398796	0.0817338636804098	0.166905651019402
