"2.5%"	"50%"	"97.5%"
"CACE"	-0.00342130729755367	0.0221529884896969	0.0480589488013204
"pia"	0.154568810422981	0.186159263579133	0.223038122506871
"pin"	0.0826942525893756	0.0963775285311604	0.115609105303396
"pic"	0.676663144060768	0.716648177579386	0.751832554624825
"s1"	0.0497860234861853	0.171713777352936	0.454943970047882
"b1"	0.0821322016224482	0.112575318906172	0.147921698013614
"u1"	0.0719873952025856	0.0907358860876123	0.111406856918853
"v1"	0.0529221267850188	0.0685163339893219	0.0861703088946232
"alpha_z1"	-4.15433580843952	-2.79300338831676	-1.71576674599487
"alpha_z2"	-3.45166718570653	-2.16791799078718	-0.892634795415353
"sigma_z1"	1.02377547814499	1.61926663984377	2.88752744602896
"sigma_z2"	1.23490620440146	1.91214635485507	3.30286041875089
"sigma_s"	1.06102129193939	2.00373794538409	4.35400422156654
