clinic	n000	n001	n010	n011	n100	n101	n110	n111 	y
1	142	19	15	0	112	24	41	5	0
2	180	40	18	3	133	28	74	6	0
3	143	31	23	1	119	23	46	3	0
4	114	26	18	2	98	18	65	2	0
5	125	23	11	1	108	18	34	0	0
6	133	23	13	0	114	15	36	6	0
7	172	41	22	0	143	23	43	8	0
8	82	7	7	0	66	10	18	2	0
9	81	6	13	1	52	8	27	1	0
10	51	15	4	0	47	6	18	1	0
11	170	30	17	1	131	39	35	7	0
12	142	17	18	4	113	14	43	8	0
13	159	32	16	5	131	30	43	7	0
14	138	28	8	1	113	22	36	2	0
15	150	24	19	2	129	15	40	5	0
16	159	20	20	2	128	16	44	6	0
17	118	28	15	2	98	18	49	7	0
18	101	15	15	4	87	16	37	3	0
19	147	23	18	2	128	15	49	5	0
20	171	29	12	3	152	30	33	8	0
21	158	22	24	2	138	19	52	6	0
22	108	12	11	1	75	19	24	6	0
