"clinic"	"n000"	"n001"	"n010"	"n011"	"n100"	"n101"	"n110"	"n111"	"y"	"n00s"	"n01s"	"n10s"	"n11s"	"n0s0"	"n0s1"	"n1s0"	"n1s1"	"n0ss"	"n1ss"	"p10"	"p01"
1	142	19	15	0	112	24	41	5	0	161	15	136	46	157	19	153	29	176	182	0.0852272727272727	0.747252747252747
2	180	40	18	3	133	28	74	6	0	220	21	161	80	198	43	207	34	241	241	0.0871369294605809	0.66804979253112
3	143	31	23	1	119	23	46	3	0	174	24	142	49	166	32	165	26	198	191	0.121212121212121	0.743455497382199
4	114	26	18	2	98	18	65	2	0	140	20	116	67	132	28	163	20	160	183	0.125	0.633879781420765
5	125	23	11	1	108	18	34	0	0	148	12	126	34	136	24	142	18	160	160	0.075	0.7875
6	133	23	13	0	114	15	36	6	0	156	13	129	42	146	23	150	21	169	171	0.0769230769230769	0.754385964912281
7	172	41	22	0	143	23	43	8	0	213	22	166	51	194	41	186	31	235	217	0.0936170212765957	0.764976958525346
8	82	7	7	0	66	10	18	2	0	89	7	76	20	89	7	84	12	96	96	0.0729166666666667	0.791666666666667
9	81	6	13	1	52	8	27	1	0	87	14	60	28	94	7	79	9	101	88	0.138613861386139	0.681818181818182
10	51	15	4	0	47	6	18	1	0	66	4	53	19	55	15	65	7	70	72	0.0571428571428571	0.736111111111111
11	170	30	17	1	131	39	35	7	0	200	18	170	42	187	31	166	46	218	212	0.0825688073394495	0.80188679245283
12	142	17	18	4	113	14	43	8	0	159	22	127	51	160	21	156	22	181	178	0.121546961325967	0.713483146067416
13	159	32	16	5	131	30	43	7	0	191	21	161	50	175	37	174	37	212	211	0.0990566037735849	0.76303317535545
14	138	28	8	1	113	22	36	2	0	166	9	135	38	146	29	149	24	175	173	0.0514285714285714	0.780346820809249
15	150	24	19	2	129	15	40	5	0	174	21	144	45	169	26	169	20	195	189	0.107692307692308	0.761904761904762
16	159	20	20	2	128	16	44	6	0	179	22	144	50	179	22	172	22	201	194	0.109452736318408	0.742268041237113
17	118	28	15	2	98	18	49	7	0	146	17	116	56	133	30	147	25	163	172	0.104294478527607	0.674418604651163
18	101	15	15	4	87	16	37	3	0	116	19	103	40	116	19	124	19	135	143	0.140740740740741	0.72027972027972
19	147	23	18	2	128	15	49	5	0	170	20	143	54	165	25	177	20	190	197	0.105263157894737	0.725888324873096
20	171	29	12	3	152	30	33	8	0	200	15	182	41	183	32	185	38	215	223	0.0697674418604651	0.816143497757848
21	158	22	24	2	138	19	52	6	0	180	26	157	58	182	24	190	25	206	215	0.12621359223301	0.730232558139535
22	108	12	11	1	75	19	24	6	0	120	12	94	30	119	13	99	25	132	124	0.0909090909090909	0.758064516129032
