"center"	"lower_p01"	"p01"	"upper_p01"	"lower_p10"	"p10"	"upper_p10"
"1"	"Baltimore"	"0.684114956849615"	"0.747252747252747"	"0.810390537655879"	"0.0439759710825188"	"0.0852272727272727"	"0.126478574372027"
"2"	"New York"	"0.608595877424865"	"0.66804979253112"	"0.727503707637375"	"0.0515292628599492"	"0.0871369294605809"	"0.122744596061213"
"3"	"Minneapolis"	"0.681519911189368"	"0.743455497382199"	"0.80539108357503"	"0.0757520040553626"	"0.121212121212121"	"0.166672238368879"
"4"	"San Francisco"	"0.564082605259501"	"0.633879781420765"	"0.703676957582029"	"0.0737555150215277"	"0.125"	"0.176244484978472"
"5"	"St. Louis"	"0.724114072711014"	"0.7875"	"0.850885927288986"	"0.034187838386881"	"0.075"	"0.115812161613119"
"6"	"Boston"	"0.68986907469278"	"0.754385964912281"	"0.818902855131782"	"0.0367484354765856"	"0.0769230769230769"	"0.117097718369568"
"7"	"Davis"	"0.708561564946959"	"0.764976958525346"	"0.821392352103733"	"0.0563737826437185"	"0.0936170212765957"	"0.130860259909473"
"8"	"Chicago-N.W."	"0.710427953512106"	"0.791666666666667"	"0.872905379821228"	"0.0209068569590471"	"0.0729166666666667"	"0.124926476374286"
"9"	"Chicago St. Jo"	"0.58450342008317"	"0.681818181818182"	"0.779132943553194"	"0.0712247585610293"	"0.138613861386139"	"0.206002964211249"
"10"	"Univ. of Chicago"	"0.634307289412421"	"0.736111111111111"	"0.837914932809801"	"0.0027673908256784"	"0.0571428571428571"	"0.111518323460036"
"11"	"Portland"	"0.748233867192504"	"0.80188679245283"	"0.855539717713156"	"0.0460333455481475"	"0.0825688073394495"	"0.119104269130751"
"12"	"Boston Univ."	"0.647062203227111"	"0.713483146067416"	"0.779904088907721"	"0.0739433247148832"	"0.121546961325967"	"0.169150597937051"
"13"	"Dayton"	"0.705658221632238"	"0.76303317535545"	"0.820408129078662"	"0.0588432188824408"	"0.0990566037735849"	"0.139269988664729"
"14"	"Newark"	"0.718653575155275"	"0.780346820809249"	"0.842040066463223"	"0.0187045764965131"	"0.0514285714285714"	"0.0841525663606297"
"15"	"Philadelphia"	"0.701183206492409"	"0.761904761904762"	"0.822626317317115"	"0.0641831730666301"	"0.107692307692308"	"0.151201442317986"
"16"	"Birmingham"	"0.68072035312878"	"0.742268041237113"	"0.803815729345446"	"0.0662917002958345"	"0.109452736318408"	"0.152613772340981"
"17"	"Pittsburgh"	"0.604389523378915"	"0.674418604651163"	"0.74444768592341"	"0.0573734446477205"	"0.104294478527607"	"0.151215512407493"
"18"	"Chicago-Rush"	"0.646711094653153"	"0.72027972027972"	"0.793848345906287"	"0.0820792313554966"	"0.140740740740741"	"0.199402250125985"
"19"	"Rutgers"	"0.663598996177521"	"0.725888324873096"	"0.78817765356867"	"0.0616259305649284"	"0.105263157894737"	"0.148900385224546"
"20"	"Columbia"	"0.765301990319323"	"0.816143497757848"	"0.866985005196373"	"0.0357147829331491"	"0.0697674418604651"	"0.103820100787781"
"21"	"Los Angeles"	"0.670905307291202"	"0.730232558139535"	"0.789559808987868"	"0.0808643340834933"	"0.12621359223301"	"0.171562850382527"
"22"	"Miami"	"0.682687295900665"	"0.758064516129032"	"0.833441736357399"	"0.0418670607288345"	"0.0909090909090909"	"0.139951121089347"
