"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.121430644048015	-0.0558350512208627	-0.0204329958682964	0.0159979831641375	0.0907588673832247
"alpha_z1"	1.41952479179032	1.49453646029073	1.53543573755072	1.57724630775952	1.65953842784841
"alpha_z2"	-0.661656793751605	-0.548891332046275	-0.488654479216374	-0.4268338422326	-0.307735639794261
"b1out"	0.0725639657872647	0.0902782560014111	0.100463543757968	0.111312667915468	0.133900638569062
"pia"	0.088938556667521	0.0948410120653458	0.098092305513397	0.10135404587553	0.107749787596537
"pic"	0.143334301199444	0.154103254469271	0.159823823684955	0.165568996065926	0.176514186824715
"pin"	0.72814517362094	0.737304679768643	0.742037659228455	0.746762261444215	0.755624723533121
"s1out"	0.137937556590725	0.146530068924397	0.15118577943945	0.156030997447953	0.165515826061658
"u1out"	0.0713729820536274	0.0946393242467659	0.107032536135075	0.119674618940953	0.144195233905592
"v1out"	0.0199603929153396	0.0937653527831861	0.127853184803938	0.160967714077386	0.222217501484409
