"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.12496453286614	-0.0605631138744903	-0.0261810128851388	0.00852964489279481	0.0816769162259126
"alpha_z1"	1.3102467427615	1.46495144167011	1.54559772721107	1.62636973710519	1.78741330286437
"alpha_z2"	-0.658495976149027	-0.547857818089784	-0.487825917390841	-0.427132977254295	-0.306168203089327
"b1out"	0.0726663456088108	0.0903226987827373	0.100571587946035	0.111325192820602	0.1336417040403
"pia"	0.0809068575232277	0.0915542898386191	0.0973810170583811	0.103513800884082	0.116469539619628
"pic"	0.13086313065847	0.148819660101423	0.15860640899794	0.168739953167162	0.189460430515319
"pin"	0.700080762900079	0.729431371457765	0.74390832158177	0.757584032675868	0.783345999927748
"s1out"	0.13768044597759	0.146005102833483	0.150503009288478	0.155208395652753	0.164539650283446
"sigma_z1"	0.363520325613527	0.430193906562578	0.473310484762028	0.524226641640592	0.649910279870299
"u1out"	0.0712940734894354	0.0947232436187818	0.107027363735275	0.119590027201948	0.144188721754849
"v1out"	0.0306674493991421	0.101078454505251	0.133407891792436	0.16564717977898	0.224879110587109
