"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.124921520205948	-0.0597802758063676	-0.0256464996800806	0.00929328499741418	0.0822288356567198
"alpha_z1"	1.35963635007434	1.48088697680907	1.54395760948089	1.60672885352638	1.72904796934059
"b1out"	0.0725842624819682	0.0902031687407959	0.100359139965653	0.11123527036583	0.133703844060792
"pia"	0.0843740736319406	0.092770252652408	0.0974170920068978	0.102240233359072	0.112189482216092
"pic"	0.13663886487426	0.150922829271927	0.15877808714403	0.166998599141318	0.183440796111658
"pin"	0.711873399799783	0.733316945527468	0.743633849664411	0.75359984236899	0.772526310656176
"s1out"	0.13766824224443	0.146038305293489	0.150604917646394	0.155339502429194	0.164611969901981
"sigma_z1"	0.236369618437599	0.287279846026716	0.320665042077753	0.36021267593825	0.458413503638954
"u1out"	0.0712741988440434	0.0949974085153362	0.107168512618458	0.119602906618464	0.144208550826037
"v1out"	0.0297937253444592	0.100484290592373	0.133125004686252	0.165022203590514	0.22487552785175
