"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.138052985249378	-0.072993337443439	-0.0397211623849481	-0.00613219107112353	0.0633964729390722
"b1out"	0.072801512036292	0.0902904447164266	0.10054421698426	0.11138951907253	0.133786905750394
"pia"	0.080927758134945	0.0912507030994086	0.0969883492230192	0.103028551377392	0.115461131583325
"pic"	0.131040177669844	0.14877856692957	0.158449012251173	0.168417704343725	0.189988558981125
"pin"	0.700762982615597	0.730461852706472	0.744408293443182	0.757830710515288	0.783160629959523
"s1out"	0.117556791386888	0.135052323176231	0.144345622145492	0.154304437243111	0.17549320918023
"sigma_s"	0.367118049010383	0.435880777198098	0.480788409657252	0.533432368910713	0.663067314340983
"sigma_z1"	0.363357198962936	0.430370080250275	0.473228778328219	0.523864228916167	0.648901911643665
"u1out"	0.0708745316621402	0.0947017046394167	0.107075260964918	0.119669085085779	0.144340801701579
"v1out"	0.0499268476518893	0.115618826307614	0.147180430532921	0.178065322920343	0.238373914871145
