"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.12191532354596	-0.0580951286474321	-0.0239780869793806	0.0106967422314526	0.0821422958674038
"b1out"	0.0528286148049032	0.0735513137711554	0.0858666720661448	0.0995049687933506	0.129913721746938
"pia"	0.0810763499301915	0.0914101305102259	0.0972107059380635	0.103301401193831	0.115865937283582
"pic"	0.131398740292954	0.149513539084422	0.159000969461868	0.169043806670479	0.190263318319733
"pin"	0.700036562905646	0.72962223526547	0.743451754691325	0.756919894781002	0.782761596968183
"s1out"	0.137608756600514	0.146002725099965	0.150545872206853	0.15522313298699	0.164433740747584
"sigma_b"	0.494189553020506	0.62562471464398	0.716202888540448	0.825318765869726	1.09950340809451
"sigma_z1"	0.363616633710083	0.43026932939046	0.473339970000116	0.524108837340721	0.647871902798979
"u1out"	0.0747276722226133	0.0973728340452315	0.109413610562382	0.121655142960868	0.146282130603997
"v1out"	0.0328919892501165	0.101408701729873	0.133806737339361	0.165373940764622	0.225116696174581
