"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.126519663480598	-0.0554057814070463	-0.0166051360092955	0.0238366988753344	0.108506326706511
"b1out"	0.0785170679574755	0.09746929133388	0.108365785445136	0.120146740331079	0.144145940663864
"pia"	0.0816594269294313	0.0924645340005844	0.0983350703850304	0.104512587283485	0.117221255331681
"pic"	0.12921571604132	0.146754899515095	0.156591236187268	0.166968236595096	0.187656850516702
"pin"	0.701666666039169	0.730440648030956	0.744784849657677	0.758646238929307	0.784092480698987
"s1out"	0.137713794563838	0.146062762834645	0.150620289201062	0.155308227977522	0.164561966340569
"sigma_u"	0.45910798469782	0.575748987710118	0.65706413709708	0.758215724267019	1.0421252682551
"sigma_z1"	0.363275629257784	0.429990119614295	0.473512082510444	0.524473435465456	0.64989976024923
"u1out"	0.0236484378755243	0.0547901668491008	0.0738558509695434	0.0948719881434624	0.142818892312518
"v1out"	0.0270373782592359	0.0998026617429447	0.132818320581949	0.164937790628377	0.225362792968501
