"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.148232904678638	-0.060881570603488	-0.0190851145175625	0.0190496258631798	0.08311580731286
"b1out"	0.072777894910678	0.0902788536296239	0.100330156213135	0.111163979685847	0.133458796434362
"pia"	0.0813252843342693	0.0917506928243526	0.0975079704062008	0.103596147221489	0.116388011224119
"pic"	0.130104497160933	0.14809033547733	0.157693917169507	0.168021579915632	0.189187732130165
"pin"	0.700478150493386	0.730318689243196	0.744572588231406	0.758136865895331	0.783348134926668
"s1out"	0.139317714279972	0.147558099389065	0.151934849634445	0.156395135534497	0.16506944937544
"sigma_v"	0.544919685060534	0.725723389106604	0.8613461653054	1.04166304170068	1.58450077361007
"sigma_z1"	0.364514769686124	0.430677948348858	0.474174296038252	0.524780337862915	0.650313924889102
"u1out"	0.0712490341734005	0.0947459721091428	0.107271574371465	0.119822587092501	0.144536073146661
"v1out"	0.00258406551361345	0.0323930484317474	0.0629269217099439	0.101302338912545	0.188814283161505
