"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.136414515469036	-0.0705694900378974	-0.0362386083148972	-0.000769863493701492	0.0723063678916628
"Sigma_z[1,1]"	0.0592712804504096	0.0917229823687005	0.116885808585916	0.151171565782825	0.255397887702912
"Sigma_z[2,1]"	-0.0277362098765944	0.0118871908850545	0.0341552141981028	0.0628666764572059	0.151505089054753
"Sigma_z[1,2]"	-0.0277362098765944	0.0118871908850545	0.0341552141981028	0.0628666764572059	0.151505089054753
"Sigma_z[2,2]"	0.0646260255847846	0.104513268553406	0.137333470738271	0.183044416740757	0.325364172848411
"b1out"	0.0732938201826068	0.090978211182001	0.101313183727323	0.112277409275675	0.134925906187739
"pia"	0.0797319821822186	0.0906023587288513	0.0965511012608992	0.102650367400578	0.115393878785834
"pic"	0.132510873872347	0.148130519180333	0.156549337624057	0.165080571427148	0.182612673806662
"pin"	0.715438557557006	0.736430069067147	0.746635405435333	0.756712810021243	0.776518847310388
"s1out"	0.136654148978721	0.145076689189536	0.149603224537922	0.154229122777316	0.163609746514372
"u1out"	0.0698166027788522	0.0935160009103763	0.105979409699618	0.118795828697012	0.14385380733958
"v1out"	0.0408516516218574	0.109949464334399	0.142550649898863	0.174214995219268	0.235532042008359
