"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.617980106102248	-0.15462119238205	-0.0175668586644081	0.0410410727452576	0.225358823535745
"alpha_b1"	-2.10783010082901	-1.43869034185115	-1.13697397245765	-0.855384129162414	-0.341223474620283
"alpha_s1"	-1.87253798044353	-1.61919622558813	-1.5039631555479	-1.39472076634152	-1.19762669420675
"alpha_u"	-4.66965214804317	-2.55703727548336	-1.74314504854494	-1.22556091008624	-0.57630023472071
"alpha_v"	-4.52183430904529	-2.38741256113834	-1.47894650407162	-0.795856923504677	0.465097414743366
"alpha_z1"	1.27840872873427	1.58811351152289	1.77463529110721	1.99245942559416	2.5738033168769
"alpha_z2"	-0.992341669995459	-0.512686627252084	-0.249613394998043	0.0438388315216349	0.775475226849386
"pi_a"	0.0663126159824612	0.0886568939537228	0.101799892705167	0.116022949592425	0.146767962389375
"pi_c"	0.0615926240399766	0.106898877661784	0.130227225506622	0.15347527160515	0.199368550730805
"pi_n"	0.708012953230652	0.747846352965336	0.767419089427092	0.786564298076726	0.820807147298105
